ID,PMC_vs_ADJHEALTHY,METASTATIC_vs_ADJHEALTHY,METASTATIC_vs_PMC
ACN9,1.0477936278104067,-0.27329567241826286,-1.3210893002286694
ACO1,-0.21077377231966032,1.3659179382023179,1.5766917105219782
ACO2,-6.211372104753236,-7.918635530518172,-1.707263425764935
ACOT13,-2.058564371781038,-1.4717152472749644,0.5868491245060736
ACOT2,-2.892962912376705,-2.164070963883497,0.728891948493208
ACOT7,-0.5419083939996473,-0.7037238480364448,-0.16181545403679756
ACOT8,-2.7588722334410827,-3.072849109775518,-0.31397687633443566
ACOT9,3.1462932154683387,4.129881270331447,0.9835880548631084
ACOX1,-5.4870576939961895,-3.1350241400426624,2.352033553953527
ACOX2,-0.4182438433722084,3.8460427628022744,4.264286606174483
ACOX3,-2.466278355660407,-1.4605719726662747,1.0057063829941326
ACP1,2.23028847482743,3.015788258820418,0.7854997839929878
ACP2,-4.052307426279521,-2.503392357449244,1.5489150688302766
